"OBJECTID","PERMIT_TYPE","DBA","CAMIS","APPROVED_SIDEWALK","APPROVED_ROAD","SUBMISSION_DATE1"
3721,"sidewalk","Taqueria Restaurante Mi Barrio 2","41604594","yes","no",22-JUN-20
10675,"roadway","RYAN'S DAUGHTER CAFE","41604933","no","yes",27-AUG-20
6414,"sidewalk","Bukhara Grill","41605053","yes","no",29-JUN-20
5963,"sidewalk","mermaids","41605185","yes","no",27-JUN-20
10473,"roadway","Yu Sushi INC","41605223","no","yes",20-AUG-20
5449,"sidewalk","Yu Sushi INC","41605223","yes","no",25-JUN-20
10475,"roadway","YU SUSHI INC","41605223","no","yes",20-AUG-20
4616,"both","Delizia92","41605297","yes","yes",23-JUN-20
3953,"both","AJISEN RAMEN","41605850","yes","yes",22-JUN-20
10992,"sidewalk","CAKOR RESTAURANT","41605870","yes","no",15-SEP-20
11077,"sidewalk","Trihop","41606171","yes","no",23-SEP-20
9679,"sidewalk","BarKogi","41606738","yes","no",01-AUG-20
215,"roadway","Barkogi","41606738","no","yes",19-JUN-20
4510,"both","BARO","41606775","yes","yes",23-JUN-20
6632,"both","El Puerto Mexicano Inc.","41606952","yes","yes",30-JUN-20
3635,"sidewalk","DADA'S COFEE SHOP CORP","41607387","yes","no",22-JUN-20
1085,"both","Comeau","41607795","yes","yes",19-JUN-20
7862,"both","courtside lounge","41608382","yes","yes",09-JUL-20
4370,"both","NSN Burger Corp","41608718","yes","yes",23-JUN-20
6827,"sidewalk","GAL BI MA EUL, INC","41608854","yes","no",01-JUL-20
10557,"both","CITY SNOOKER POOL HOUSE INC","41608858","yes","yes",22-AUG-20
2557,"both","Karvouna Mezze","41609204","yes","yes",20-JUN-20
2920,"both","prime sandwich","41609414","yes","yes",21-JUN-20
4263,"roadway","il Buco Alimentari & Vinera","41610164","no","yes",23-JUN-20
9746,"roadway","il Buco Vineria LLC","41610164","no","yes",03-AUG-20
7561,"roadway","F-C LLC","41610168","no","yes",07-JUL-20
4690,"both","Glow Thai","41610426","yes","yes",23-JUN-20
5273,"roadway","Mud Spot","41610749","no","yes",25-JUN-20
3298,"sidewalk","Mcdonalds's","41611084","yes","no",22-JUN-20
11179,"roadway","VALHALLA","41611875","no","yes",30-SEP-20
11263,"sidewalk","CATCH","41611969","yes","no",07-OCT-20
697,"both","The Grey Dog Mulberry","41612080","yes","yes",19-JUN-20
11009,"roadway","THE IRISH AMERICAN","41612393","no","yes",16-SEP-20
657,"both","Le Paddock","41612487","yes","yes",19-JUN-20
6723,"both","PAPAYE RESTAURANT, INC","41612730","yes","yes",01-JUL-20
10418,"sidewalk","Ihop","41612972","yes","no",19-AUG-20
3512,"sidewalk","3 AND OUT","41613057","yes","no",22-JUN-20
1853,"sidewalk","Sottocasa","41614152","yes","no",19-JUN-20
2845,"both","Bevacco, The Binc","41614202","yes","yes",21-JUN-20
4308,"both","Petaluma Restaurant","41614210","yes","yes",23-JUN-20
10785,"both","SKINNY'S CANTINA","41614445","yes","yes",01-SEP-20
9574,"both","Flaming Saddles","41614537","yes","yes",30-JUL-20
8067,"sidewalk","Little Italy Pizza","41614718","yes","no",11-JUL-20
5443,"sidewalk","Jin Ramen Corporation","41615257","yes","no",25-JUN-20
1513,"sidewalk","The Masalawala LLC","41615382","yes","no",19-JUN-20
2256,"both","Guero's Restaurant INC.","41615430","yes","yes",20-JUN-20
1916,"both","Romanian Garden","41615913","yes","yes",19-JUN-20
4971,"both","DORADO TACOS  & QUESADILLAS","41617210","yes","yes",24-JUN-20
1786,"both","Proletariat","41617526","yes","yes",19-JUN-20
878,"sidewalk","Proletariat","41617526","yes","no",19-JUN-20
589,"sidewalk","Stone Street Coffee Company / Bathtub Gin","41618158","yes","no",19-JUN-20
1343,"sidewalk","Five Guys","41618228","yes","no",19-JUN-20
9144,"both","The Phoenix","41618267","yes","yes",22-JUL-20
5561,"roadway","The Phoenix","41618267","no","yes",25-JUN-20
4612,"both","Spring Natural Corp.","41618541","yes","yes",23-JUN-20
3623,"both","Tortaria","41618840","yes","yes",22-JUN-20
3390,"sidewalk","Testo","41618871","yes","no",22-JUN-20
9170,"sidewalk","pedro's bar and restaurant","41619116","yes","no",22-JUL-20
5214,"both","La Pollera Colorada II","41619148","yes","yes",25-JUN-20
850,"both","La Pollera Colorada II","41619148","yes","yes",19-JUN-20
11210,"sidewalk","LA GRAN ESQUINA RESTAURANT CORP.","41619192","yes","no",02-OCT-20
742,"both","Elsa's Cave Corp","41619708","yes","yes",19-JUN-20
2075,"both","The Skillman","41619957","yes","yes",20-JUN-20
3842,"roadway","Burger Club","41620030","no","yes",22-JUN-20
388,"roadway","The Commons Chelsea","41620241","no","yes",19-JUN-20
3802,"sidewalk","EL PUERTO DE ACAPULCO BAR RESTAURANT INC.","41620272","yes","no",22-JUN-20
2767,"sidewalk","pizza and bagel on 3rd wholesale, retail, inc","41620437","yes","no",21-JUN-20
5170,"both","The Smith","41620680","yes","yes",24-JUN-20
8953,"both","SXB Restaurant Corp","41620905","yes","yes",20-JUL-20
7915,"both","Il Tinello Ristorante","41620905","yes","yes",09-JUL-20
9869,"roadway","tre sorelle","41621139","no","yes",05-AUG-20
582,"both","Sea Witch Tavern","41621218","yes","yes",19-JUN-20
8327,"both","City Swiggers LLC","41621240","yes","yes",14-JUL-20
6153,"both","Los Marineros Corporation Taqueria Al Pastor","41621476","yes","yes",28-JUN-20
5030,"both","MI Paso Centroamericano Corp.","41621699","yes","yes",24-JUN-20
6117,"sidewalk","cafe bench Inc.","41621706","yes","no",28-JUN-20
6902,"sidewalk","cafe bench Inc","41621706","yes","no",02-JUL-20
3584,"sidewalk","cafe bench Inc","41621706","yes","no",22-JUN-20
1153,"sidewalk","cafe bench inc","41621706","yes","no",19-JUN-20
4333,"sidewalk","Blue Marble Underhill","41622577","yes","no",23-JUN-20
9347,"both","El Paraiso Lounge INC","41565598","yes","yes",25-JUL-20
216,"both","Halyards, Llc","41565921","yes","yes",19-JUN-20
4829,"roadway","Bierhaus NYC","41566063","no","yes",24-JUN-20
1926,"roadway","The anchored inn","41566334","no","yes",19-JUN-20
1567,"both","Agora Taverna","41566403","yes","yes",19-JUN-20
5820,"sidewalk","Las Panteras Negras Restaurant INC.","41566907","yes","no",26-JUN-20
5826,"sidewalk","Shoga Sushi & Oyster Bar","41567090","yes","no",26-JUN-20
10282,"roadway","88 Fusion Link Inc","41567090","no","yes",15-AUG-20
5897,"both","BATAVIANYC2 INC","41567772","yes","yes",26-JUN-20
338,"roadway","SOUVLAKI GR LES","41567796","no","yes",19-JUN-20
5522,"both","SADA One, LLC","41567865","yes","yes",25-JUN-20
125,"sidewalk","SADA 1","41567865","yes","no",19-JUN-20
6530,"both","Tappo Thin Crust Pizza","41568107","yes","yes",30-JUN-20
10875,"sidewalk","ANTOJITOS DELI FOOD","41568650","yes","no",06-SEP-20
10816,"both","UPRIGHT COFFEE","41568894","yes","yes",03-SEP-20
1574,"sidewalk","Bohemian Spirit Restaurant","41569184","yes","no",19-JUN-20
2236,"sidewalk","Chavela's","41569582","yes","no",20-JUN-20
10871,"sidewalk","SUD-OUEST 33 INC","41569764","yes","no",05-SEP-20
4096,"both","Swagat Indian Restaurant","41569904","yes","yes",22-JUN-20
11222,"both","BILLY'S BAKERY","41570001","yes","yes",03-OCT-20
5305,"both","Shelter Pizza","41570461","yes","yes",25-JUN-20
5306,"both","Rosarito Fish Shack","41570461","yes","yes",25-JUN-20
9822,"both","OTG 150ST CORP","41570661","yes","yes",05-AUG-20
11068,"roadway","PATZERIA FAMILY & FRIENDS INC.","41570817","no","yes",22-SEP-20
8076,"sidewalk","Jim Byrne�s wee pub inc","41571354","yes","no",11-JUL-20
9088,"both","Natalias Bar","41571476","yes","yes",21-JUL-20
7752,"sidewalk","Banter","41571613","yes","no",08-JUL-20
5008,"both","Mi Ranchito Mexican Restaurant","41572079","yes","yes",24-JUN-20
4892,"roadway","eats","41572551","no","yes",24-JUN-20
847,"both","eats","41572551","yes","yes",19-JUN-20
2422,"both","The Meatball Shop West Village","41572569","yes","yes",20-JUN-20
7062,"sidewalk","SATO INC","41572581","yes","no",02-JUL-20
2414,"both","The Meatball Shop Williamsburg","41572590","yes","yes",20-JUN-20
6056,"both","Sabana Lounge & Resturant","41573314","yes","yes",27-JUN-20
1575,"both","Lotus 17 Inc","41573408","yes","yes",19-JUN-20
1218,"both","Anton's","41573716","yes","yes",19-JUN-20
4864,"sidewalk","CreperieNYC","41573739","yes","no",24-JUN-20
1784,"both","La Boulangerie de Francois","41573988","yes","yes",19-JUN-20
6570,"both","Kaia Wine Bar","41573992","yes","yes",30-JUN-20
8011,"both","two8two Bar & Burger","41574133","yes","yes",10-JUL-20
6223,"roadway","MOMOFUKU MILK BAR","41574266","no","yes",29-JUN-20
9557,"sidewalk","AFP Bagels Inc.","41574275","yes","no",30-JUL-20
5675,"sidewalk","PRINCESS PIZZA & RESTAURANT","41574441","yes","no",26-JUN-20
8091,"sidewalk","little italy pizza","41575384","yes","no",11-JUL-20
324,"roadway","Midnight express","41575449","no","yes",19-JUN-20
6190,"sidewalk","Frank's Tratto","41575487","yes","no",28-JUN-20
9075,"roadway","Frank�s Trattoria","41575487","no","yes",21-JUL-20
7523,"both","Villa Brasil Corp","41575509","yes","yes",07-JUL-20
3382,"sidewalk","BTB SERVICES CORP.","41575509","yes","no",22-JUN-20
7909,"both","Parkside Pub","41576068","yes","yes",09-JUL-20
8133,"sidewalk","JR primos restaurant corp","41576098","yes","no",12-JUL-20
5802,"both","Asya Indian Restaurant","41576339","yes","yes",26-JUN-20
1644,"both","Jukai NY LLC","41576416","yes","yes",19-JUN-20
4338,"sidewalk","El Pollo Inka Peru No. 3 Inc.","41576495","yes","no",23-JUN-20
7889,"both","El Pollo Inka Peru No. 3, Inc.","41576495","yes","yes",09-JUL-20
5774,"both","HTCT LLC","41576543","yes","yes",26-JUN-20
6285,"both","Westside TM Corp","41576850","yes","yes",29-JUN-20
6288,"both","Westside TM","41576850","yes","yes",29-JUN-20
6954,"both","Trix Inc","41576944","yes","yes",02-JUL-20
1630,"sidewalk","De Armas Enterprises Corp.","41577301","yes","no",19-JUN-20
5116,"both","Wrays Caribbean and Seafood Cuisine","41577304","yes","yes",24-JUN-20
1561,"both","BRONX BURGER HOUSE","41577394","yes","yes",19-JUN-20
1602,"both","BRONX BURGER HOUSE","41577394","yes","yes",19-JUN-20
10028,"both","Bar Bruno","41577501","yes","yes",07-AUG-20
9416,"sidewalk","India Cafe","41577762","yes","no",27-JUL-20
6386,"both","CAFFE MILAN","41577901","yes","yes",29-JUN-20
273,"both","Bearded Lady","41578515","yes","yes",19-JUN-20
247,"roadway","Bearded Lady","41578515","no","yes",19-JUN-20
1620,"sidewalk","BDC RESTAURANTS LLC","41578619","yes","no",19-JUN-20
5520,"both","FLAGSHIP SB LLC NYC","41578677","yes","yes",25-JUN-20
8312,"sidewalk","Daily Press Bed-Stuy","41578745","yes","no",14-JUL-20
2230,"sidewalk","SALT AND PEPPER DINER INC","41579144","yes","no",20-JUN-20
6888,"both","Salt and Pepper Diner INC","41579144","yes","yes",02-JUL-20
4301,"both","Metate Mexican restaurant","41579300","yes","yes",23-JUN-20
7431,"both","Marry The Ketchup","41579887","yes","yes",06-JUL-20
3658,"sidewalk","Upstate Craft beer and oyster bar","41579887","yes","no",22-JUN-20
98,"both","Ceci Italian Cuisine","41579930","yes","yes",19-JUN-20
5886,"roadway","Sage","41580023","no","yes",26-JUN-20
5999,"both","Sage","41580023","yes","yes",27-JUN-20
4407,"roadway","Sage","41580023","no","yes",23-JUN-20
1647,"sidewalk","Sage","41580023","yes","no",19-JUN-20
3997,"both","The Leopard","41580082","yes","yes",22-JUN-20
1256,"sidewalk","Trattoria Zero OttTrattoria Zero Otto Nove II LLCo Nove II LLC","41580537","yes","no",19-JUN-20
4040,"both","Jolie cantina","41580873","yes","yes",22-JUN-20
6794,"both","Pad Thai Noodle Lounge","41581830","yes","yes",01-JUL-20
2394,"sidewalk","Pad Thai Noodle Lounge","41581830","yes","no",20-JUN-20
5034,"both","Felice","41582081","yes","yes",24-JUN-20
782,"roadway","135 West B Food & Drink LLC","41582631","no","yes",19-JUN-20
613,"sidewalk","Cantina Mexicana Inc","41582708","yes","no",19-JUN-20
10107,"sidewalk","Juice Generation Cafe","41583233","yes","no",10-AUG-20
4597,"both","Bread & Tulips","41583421","yes","yes",23-JUN-20
7128,"both","Harding's","41583460","yes","yes",03-JUL-20
9649,"sidewalk","Millefeuille Bakery Cafe","41583557","yes","no",31-JUL-20
11178,"sidewalk","BEECHER'S HANDMADE CHEESE","41583757","yes","no",30-SEP-20
6040,"both","Excelente Gil Cafeteria y Restaurante","41583783","yes","yes",27-JUN-20
6722,"sidewalk","Putnam's Pub","41584296","yes","no",01-JUL-20
4562,"both","Amorino","41584647","yes","yes",23-JUN-20
142,"both","Pappardella Rest Corp","41585567","yes","yes",19-JUN-20
8885,"both","Soco","41585575","yes","yes",19-JUL-20
9474,"both","Darna restaurant","41585806","yes","yes",28-JUL-20
5599,"both","Cornerstone Cafe","41586413","yes","yes",25-JUN-20
281,"both","Monte�s","41587147","yes","yes",19-JUN-20
1353,"roadway","Lobster Joint","41587378","no","yes",19-JUN-20
1543,"both","KAZO INC","41588029","yes","yes",19-JUN-20
11064,"both","SALINAS","41588320","yes","yes",22-SEP-20
65,"sidewalk","Kulushkat","41588805","yes","no",19-JUN-20
9742,"roadway","TROOST","41589755","no","yes",03-AUG-20
2228,"both","Barboncino","41589950","yes","yes",20-JUN-20
3456,"both","Luna Restaurant","41590295","yes","yes",22-JUN-20
6051,"both","Nitehawk Cinema","41591414","yes","yes",27-JUN-20
1040,"both","Thai Farm Kitchen Seaport","41591488","yes","yes",19-JUN-20
3347,"both","PIZZARTE NY LLC","41591687","yes","yes",22-JUN-20
783,"both","William Barnacle Tavern","41591881","yes","yes",19-JUN-20
2497,"sidewalk","Kitchen at Cobble Hill","41591999","yes","no",20-JUN-20
6443,"both","Geminis II Restaurant","41592302","yes","yes",29-JUN-20
1293,"sidewalk","Cafe Regular","41592595","yes","no",19-JUN-20
7606,"both","Mumtaz Indian Cusine","41593315","yes","yes",07-JUL-20
10855,"openstreets","HARLEM TAVERN","41593541","no","no",04-SEP-20
4323,"sidewalk","Rinconcito Paisa Inc.","41593751","yes","no",23-JUN-20
6798,"sidewalk","Kulu Desserts","41594064","yes","no",01-JUL-20
5058,"both","Four & Twenty Blackbirds","41594415","yes","yes",24-JUN-20
3502,"both","196 Fifth LLC","41594504","yes","yes",22-JUN-20
3579,"sidewalk","Lavender Lake","41594758","yes","no",22-JUN-20
2826,"sidewalk","Cafe Grumpy","41594856","yes","no",21-JUN-20
6070,"sidewalk","Las Palmas Bakery LLC","41468442","yes","no",27-JUN-20
10100,"sidewalk","The 13th Step","41468453","yes","no",10-AUG-20
3237,"both","Canteen Delicatessen And Cafe","41468766","yes","yes",22-JUN-20
10247,"sidewalk","Dinosaur Restaurants LLC","41468815","yes","no",14-AUG-20
11083,"sidewalk","TIJUANA SPORTS BAR","41468852","yes","no",23-SEP-20
6825,"sidewalk","2010MomentoCorp","41469010","yes","no",01-JUL-20
5772,"roadway","Amir Cafe, Inc.","41469247","no","yes",26-JUN-20
6249,"both","MY MOST FAVORITE FOOD","41469473","yes","yes",29-JUN-20
7135,"sidewalk","Pio Pio Restaurant","41469761","yes","no",03-JUL-20
8789,"both","Pio Pio Restaurant","41469761","yes","yes",17-JUL-20
3528,"both","RUINAS DE COPAN RESTAURANT","41470237","yes","yes",22-JUN-20
4768,"both","One And One","41470674","yes","yes",24-JUN-20
3142,"both","Toolbox","41470760","yes","yes",21-JUN-20
8364,"both","Chinar Restaurant","41470787","yes","yes",14-JUL-20
10469,"both","Meme","41471053","yes","yes",20-AUG-20
4288,"sidewalk","Momiji Inc. DBA Takahachi Bakery","41471314","yes","no",23-JUN-20
7839,"both","Pinkerton Wine Bar","41471348","yes","yes",09-JUL-20
9890,"both","MING XING BBQ INC","41471899","yes","yes",06-AUG-20
9795,"both","MING XING BBQ INC","41471899","yes","yes",04-AUG-20
11409,"both","DRUNKEN HORSE","41471964","yes","yes",26-OCT-20
5873,"sidewalk","Drunken horse","41471964","yes","no",26-JUN-20
6500,"both","Maizal Restaurant LLC","41472400","yes","yes",30-JUN-20
4832,"roadway","Maizal Restaurant","41472400","no","yes",24-JUN-20
2521,"both","St Anselm","41472439","yes","yes",20-JUN-20
3707,"both","Woodhul Winebar","41472755","yes","yes",22-JUN-20
9815,"both","Fuji Japanese Restaurant","41472986","yes","yes",04-AUG-20
10081,"both","Ben & Teena's Ice Cream","41473017","yes","yes",09-AUG-20
10083,"openstreets","Ben & Teena's Ice Cream","41473017","no","no",09-AUG-20
6979,"sidewalk","Ben & Teena's Ice Cream","41473017","yes","no",02-JUL-20
237,"both","Whiskey Rebel","41473931","yes","yes",19-JUN-20
8682,"both","El Tenampa Restaurant","41473978","yes","yes",16-JUL-20
8737,"both","Tiberias","41474224","yes","yes",17-JUL-20
8726,"sidewalk","Tiberias","41474224","yes","no",17-JUL-20
11389,"both","SHAKE SHACK","41474503","yes","yes",23-OCT-20
8303,"both","Buka New York Corp","41474882","yes","yes",14-JUL-20
6089,"both","Mikado Bistro Inc","41474954","yes","yes",27-JUN-20
8004,"both","SHEA GARDEN INC DBA Brothers pizza","41475207","yes","yes",10-JUL-20
9015,"both","Brooklyn Pub LLC","41475295","yes","yes",20-JUL-20
5118,"sidewalk","True Colors Bar Inc","41475322","yes","no",24-JUN-20
7637,"sidewalk","Bel Ami","41475476","yes","no",07-JUL-20
9969,"openstreets","Noche Mwxicana No. 2","41475632","no","no",06-AUG-20
7380,"both","Noche Mexicana No.2","41475642","yes","yes",06-JUL-20
11343,"sidewalk","THE CROOKED KNIFE","41475992","yes","no",17-OCT-20
3357,"sidewalk","The Crooked Knife","41475992","yes","no",22-JUN-20
3679,"both","Terroir Tribeca LLC","41476127","yes","yes",22-JUN-20
6163,"both","Sukhmani Inc","41476195","yes","yes",28-JUN-20
2235,"sidewalk","Sukhmani Inc","41476195","yes","no",20-JUN-20
299,"sidewalk","Milk and Roses","41476416","yes","no",19-JUN-20
532,"sidewalk","27-24 Tavern Corp.","41477010","yes","no",19-JUN-20
667,"both","VIDA MEXICANA INC.","41477055","yes","yes",19-JUN-20
1151,"both","Point green cafe inc","41477087","yes","yes",19-JUN-20
2548,"sidewalk","DINO","41477231","yes","no",20-JUN-20
2408,"roadway","DINO","41477231","no","yes",20-JUN-20
3719,"both","Mel's Burger Bar and Koronet Pizza","41477315","yes","yes",22-JUN-20
8356,"both","2 Bros 9th Ave Inc","41477814","yes","yes",14-JUL-20
2372,"both","Banc Cafe","41477872","yes","yes",20-JUN-20
8112,"both","RJC Family's Cafe Corp.","41477995","yes","yes",11-JUL-20
145,"both","Tov Taam DBA EIGHTEEN Restaurant","41478388","yes","yes",19-JUN-20
6937,"both","151 Bleecker LLC","41478531","yes","yes",02-JUL-20
7981,"sidewalk","Margherita�s Pizza Corp","41479049","yes","no",09-JUL-20
2675,"sidewalk","Cheap Shots Bar and Lounge","41479157","yes","no",20-JUN-20
10208,"sidewalk","The Penny Farthing","41479185","yes","no",13-AUG-20
634,"roadway","The Penny Farthing","41479185","no","yes",19-JUN-20
7959,"sidewalk","Chocolat Restaurant & Lounge","41479962","yes","no",09-JUL-20
9126,"both","CARIBBEAN ROTI EXPRESS INC","41479993","yes","yes",22-JUL-20
5156,"sidewalk","LAVO","41480022","yes","no",24-JUN-20
9414,"sidewalk","Gurman Restaurant","41480215","yes","no",27-JUL-20
3194,"both","Yemen Cafe & Restaurant","41480427","yes","yes",22-JUN-20
928,"both","Black Gold Brooklyn Inc.","41480500","yes","yes",19-JUN-20
4502,"both","Stan's sports bar","41480756","yes","yes",23-JUN-20
2411,"both","Madera Pizza & Grill Inc","41481377","yes","yes",20-JUN-20
9115,"both","Shangerila Restaurant inc","41482516","yes","yes",22-JUL-20
5045,"both","ABRIL NY CORPORATION","41482610","yes","yes",24-JUN-20
988,"sidewalk","ABRIL NY CORPORATION","41482610","yes","no",19-JUN-20
4781,"both","El Nuevo Sabor Corp","41482939","yes","yes",24-JUN-20
1904,"roadway","Tatane corp","41484499","no","yes",19-JUN-20
2001,"roadway","Tatane corp","41484499","no","yes",19-JUN-20
908,"sidewalk","Bravo Pizza","41485091","yes","no",19-JUN-20
3792,"both","new wonjo","41485097","yes","yes",22-JUN-20
7033,"sidewalk","Outback Steakhouse","41485123","yes","no",02-JUL-20
6765,"sidewalk","Outback Steakhouse of Florida LLC","41485126","yes","no",01-JUL-20
6078,"sidewalk","Outback Steakhouse Of Florida,LLC","41485154","yes","no",27-JUN-20
7214,"both","Dec-62","41485393","yes","yes",03-JUL-20
7212,"both","Dec-62","41485393","yes","yes",03-JUL-20
8629,"both","Amber Resturant LLC","41486145","yes","yes",16-JUL-20
1012,"both","1974","41486182","yes","yes",19-JUN-20
6777,"both","RIVER DELI","41486460","yes","yes",01-JUL-20
1179,"sidewalk","RIVER DELI","41486460","yes","no",19-JUN-20
10484,"both","Reginas�s family pizza inc","41486945","yes","yes",20-AUG-20
10519,"both","REGINA�S FAMILY PIZZA INC","41486945","yes","yes",21-AUG-20
8691,"both","Pink lotus gourmet inc","41486961","yes","yes",16-JUL-20
3172,"both","Townhouse Lounge","41486983","yes","yes",21-JUN-20
11260,"roadway","BLACK MOUNTAIN","41486993","no","yes",07-OCT-20
4274,"sidewalk","Pick A Bagel","41487247","yes","no",23-JUN-20
10947,"openstreets","AUGURS WELL","41487277","no","no",11-SEP-20
562,"sidewalk","Augurs Well","41487277","yes","no",19-JUN-20
10727,"both","GUACUCO","41488055","yes","yes",28-AUG-20
10868,"sidewalk","388 CAFE &amp; DELI","41488338","yes","no",05-SEP-20
10384,"both","Characters Bar & Grill","41488442","yes","yes",18-AUG-20
6403,"roadway","243 West 54th Street Cafe Inc","41488442","no","yes",29-JUN-20
3569,"both","Burgos Restaurant Corp dba/ Burgos Restaurant","41488494","yes","yes",22-JUN-20
8302,"both","Dow Young Group Inc","41488532","yes","yes",14-JUL-20
6183,"both","Piccola strada","41488981","yes","yes",28-JUN-20
3772,"sidewalk","Piccola strada","41488981","yes","no",22-JUN-20
9820,"openstreets","Branded Saloon","41489197","no","no",05-AUG-20
7452,"both","Branded Saloon","41489197","yes","yes",06-JUL-20
662,"both","Olea Mediterranean Taverna","41489414","yes","yes",19-JUN-20
5072,"sidewalk","PATSY'S PIZZERIA","41489737","yes","no",24-JUN-20
8169,"both","PATSY'S PIZZERIA","41489737","yes","yes",13-JUL-20
5917,"both","Hudson Clearwater","41489751","yes","yes",26-JUN-20
8213,"sidewalk","94 Corner Cafe","41490195","yes","no",13-JUL-20
3889,"both","bistrot33 corp","41490282","yes","yes",22-JUN-20
5690,"both","BAR PITTI","41490544","yes","yes",26-JUN-20
11478,"both","MIDWAY BAR","41490788","yes","yes",05-NOV-20
1637,"roadway","Anfora","41491144","no","yes",19-JUN-20
1649,"sidewalk","34 8th avenue LLC","41491144","yes","no",19-JUN-20
9413,"both","RIVIERA RISTORANTE","41491217","yes","yes",27-JUL-20
282,"sidewalk","17-12 RIVIERA RESTAURANT CORP.","41491217","yes","no",19-JUN-20
1893,"both","Malaparte","41491940","yes","yes",19-JUN-20
10918,"both","West Side Steakhouse","41491955","yes","yes",10-SEP-20
8614,"roadway","Five Guys","41492701","no","yes",16-JUL-20
1190,"sidewalk","Five Guys","41492701","yes","no",19-JUN-20
3742,"both","Artichoke Basille's Pizza","41493180","yes","yes",22-JUN-20
923,"both","188 Avenue A Take Out Food Corp","41375676","yes","yes",19-JUN-20
1890,"sidewalk","Bagel Boss Of NYC Inc","41376041","yes","no",19-JUN-20
540,"roadway","Chimichurri Grill","41376328","no","yes",19-JUN-20
654,"sidewalk","Chimichurri Grill","41376328","yes","no",19-JUN-20
2671,"both","Dera","41376444","yes","yes",20-JUN-20
6446,"sidewalk","Pablo Valdez Bakery Inc","41376760","yes","no",29-JUN-20
10627,"sidewalk","Fukuoka Food inc","41376978","yes","no",25-AUG-20
2526,"both","FINO","41377019","yes","yes",20-JUN-20
7188,"openstreets","Ambrosia NY Inc.","41377019","no","no",03-JUL-20
5253,"sidewalk","Cataldo�s restaurant","41377069","yes","no",25-JUN-20
9811,"openstreets","Cataldo54inc","41377069","no","no",04-AUG-20
2642,"sidewalk","Deilines Restaurant CORP.","41377321","yes","no",20-JUN-20
8697,"both","Athena Mediterranean Cuisine","41377819","yes","yes",16-JUL-20
1556,"sidewalk","Athena Restaurant Saah INC","41377819","yes","no",19-JUN-20
7204,"roadway","Darbar Grill","41377952","no","yes",03-JUL-20
6491,"both","Punto de Sabor Inc","41378125","yes","yes",30-JUN-20
6943,"both","l'artusi","41378319","yes","yes",02-JUL-20
10026,"sidewalk","Applebee's Neighborhood Grill & Bar","41378990","yes","no",07-AUG-20
2396,"sidewalk","Pollos Mario Woodhaven Corp.","41379215","yes","no",20-JUN-20
3077,"both","Pollos Mario Woodhaven Corp.","41379215","yes","yes",21-JUN-20
5567,"sidewalk","ARRIBA ARRIBA SUNNYSIDE INC","41379322","yes","no",25-JUN-20
2360,"sidewalk","MIC-EASTCHESTER, LLC","41379821","yes","no",20-JUN-20
3763,"sidewalk","Udon West","41380163","yes","no",22-JUN-20
7860,"roadway","Udon West 46","41380163","no","yes",09-JUL-20
7864,"both","Udon West 46","41380163","yes","yes",09-JUL-20
5356,"sidewalk","Don Burrito Restaurant Corp","41380672","yes","no",25-JUN-20
174,"both","Mama Raos pizzeria and restaurant","41380675","yes","yes",19-JUN-20
164,"both","Mama Raos pizzeria &restaurant","41380675","yes","yes",19-JUN-20
143,"both","Mama Rao�s pizzeria &restaurant","41380675","yes","yes",19-JUN-20
7914,"both","Spunto Thin Crust Pizza","41381168","yes","yes",09-JUL-20
6524,"both","Spunto Thin Crust Pizza","41381168","yes","yes",30-JUN-20
6528,"roadway","Spunto Thin Crust Pizza","41381168","no","yes",30-JUN-20
1805,"both","Desnuda","41381267","yes","yes",19-JUN-20
785,"sidewalk","Warlord Enterprises LLC","41381267","yes","no",19-JUN-20
8071,"both","Casa La Femme","41382007","yes","yes",11-JUL-20
10587,"roadway","Pearl street diner","41382108","no","yes",24-AUG-20
2571,"sidewalk","Guantanamera Restaurant","41382688","yes","no",20-JUN-20
10670,"roadway","GUANTANAMERA","41382688","no","yes",26-AUG-20
1014,"both","46 02 Skillman Cafe LLC","41382696","yes","yes",19-JUN-20
9149,"both","Doux Supper Club","41382808","yes","yes",22-JUL-20
3156,"both","The Perfect Pint","41382830","yes","yes",21-JUN-20
1656,"sidewalk","Spaha Lounge INC","41382903","yes","no",19-JUN-20
285,"roadway","Noi Due","41382996","no","yes",19-JUN-20
9994,"openstreets","Boqueria Restaurants","41383548","no","no",07-AUG-20
4515,"both","Boqueria","41383548","yes","yes",23-JUN-20
1453,"both","Legends","41384019","yes","yes",19-JUN-20
4356,"sidewalk","Sandro's Restaurant","41384201","yes","no",23-JUN-20
6468,"both","El Chicanito restaurant bar","41384237","yes","yes",29-JUN-20
3829,"sidewalk","Mimis hummus","41384384","yes","no",22-JUN-20
9304,"both","Wasabi Point","41384689","yes","yes",24-JUL-20
8845,"sidewalk","Wasabi point","41384689","yes","no",18-JUL-20
6775,"sidewalk","felix coffee shop","41385282","yes","no",01-JUL-20
5469,"both","Howl at the Moon Restaurant Corp.","41385657","yes","yes",25-JUN-20
5459,"both","Tony and tinas burek inc.","41385659","yes","yes",25-JUN-20
1972,"sidewalk","pegasus","41385681","yes","no",19-JUN-20
9658,"both","MITOUSHI","41385990","yes","yes",31-JUL-20
8803,"roadway","773 lounge","41386038","no","yes",17-JUL-20
